Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;1;16. Jul 11;Annett77;;5;Top Markengerät;"Wir haben uns endlich entschieden, einen neuen Kühlschrank zu kaufen. Der alte hat zwar noch funktioniert. Aber seit dem der aus ist, leuchten in unserer Straße die Laternen heller.
Für uns war wichtig, dass das neue Gerät extrem energiesparend ist. Deswegen fiel die Wahl auf den Siemens-Kühlschrank.
Er sieht außen und innen top aus. Und er ist absolut leise. Man muß tatsächlich sein Ohr ans Gehäuse legen, um ihn zu hören. (Wenn ich da an unser altes Kühlmonster denke...)
Das Gemüsefach ist jeden Cent wert. Ich wollte es vorher nicht glauben, aber das Gemüse hält tatsächlich ewig.
Zum Frostfach gibt es eigentlich nicht viel zu sagen. Es macht kalt, und die Schubfächer sind eigentlich immer zu klein.
Die Temperatur von Frost- und Kühlteil läßt sich getrennt digital per Knopfdruck regeln.

Fazit: Wer die höheren Anschaffungskosten nicht scheut, bekommt hier viel Kühlschrank für sein Geld. Durch die niedrigen Energiekosten spart man später dann."
;2;24. Nov 11;"M. Rosenberg ""Rosi""";;4;Gutes Gerät;"Zusammenfassend eine Solide und Durchdachte Kühl-Gefrier-Kombi.

Schön geräumig und übersichtlich und variabel in der Verstellung bzw. Einteilung und das

alles zu einem fairen Preis.
"
;3;11. Dez 11;"M. Stegmann ""Abtauchen in die Bücherwelt""";;5;Energiesparend kühlen!;"Zeitgemäß und energiesparend kühlen und gefrieren mit 3+, als dem zur Zeit besten standard.
Haben unseren 22 Jahre alte Einbaukühl-u. Gefrierkombination samt Umbau ausgetauscht: Unsere Küche sieht
nun moderner aus und der Stromzähler rattert nicht mehr im Akkord! Klasse auch die große Gemüseschublade. MAn kann viel schöner Ordnung halten im Kühlschrank und hat jede Menge Platz.
Lieferung und Aufstellung hat bestens geklappt, nach telef. Vorankündigung. Nachdem ich den Lieferanten 10€ Trinkgeld gab nahmen sie sogar die Kartonagen mit."
;4;06. Jan 12;"gerhold ""gerhold""";;4;glänzende Erscheinung aber nicht ganz 5 Sterne wert;"Die Kühl-Gefrier-Kombi ist wertig und sauber gefertigt. Die Inneneinrichtung ist funktionell sehr variabel und auch optisch gut gelungen. Schubladen für Gemüse/Obst und Fisch/Fleisch/Wurst sind vorhanden und prima integriert, Salat usw. hält sich tatsächlich länger darin. Bei der Geräuschentwicklung hatte ich etwas bedenken, da viele Energiespar-Kühlgeräte recht laut sein können.....aber nicht dieses Gerät, es ist angenehm leise und stört auch bei ""offener"" Küche nicht. Tip: Auch heute noch gilt....nach der Lieferung das Gerät mindestens 2 Stunden ohne Strom stehenlassen in der Zwischenzeit auswaschen und erst dann einschalten. Viele Geräuschprobleme entstehen so erst garnicht...und zu Schränken usw. einige Millimeter Zwischenraum lassen.Die Mehrausgabe für dieses Gerät lohnt sich allein schon wegen des sehr niedrigen Stromverbrauches A plus *** Sternchen sind schon beachtlich. Die Bedienung ist gut gelöst und für Störungen oder offene Türen usw. gibt es Warnsignale sodass man sich von selbst angewöhnt die Tür nicht minutenlang offen zu lassen. Eine technisch sehr gute und optisch ansprechende Kühl-Gefrier-Kombi wie sie sein soll. Alle Achtung...
Das verbesserungswürdige zuletzt: Siemens sollte die Temperaturanzeige ändern....es ist für Nutzer wichtiger die tatsächliche Temperatur im Gerät angezeigt zu bekommen als die ""Wunschtemperatur"". Viele Geräte zeigen im Normalbetrieb die Temperatur im Gerät und blenden nur bei Änderung der Einstellung die angewählte Temperatur kurz ein und schalten dann wieder um....besser und sollte in dieser Preisklasse Standard sein. Nachtrag Januar 2013 : Bis Dato keine Probleme, die beworbene Low-Frost-Funktion im Gefrierteil kann ich allerdings nicht bestätigen, die Vereisung im Gefrierfach entspricht der von anderen Geräten, d.h. etwa 2x jährlich abtauen. Positiv ist hier, dass die abzuwaschenden Flächen meist glatt sind, wenig Winkel usw.der obere Kältetauscher im Gefrierfach ist jedoch etwas umständlich zu erreichen und zerklüftet. Der Kühlschrankteil lässt sich nicht so ganz pefekt auswaschen, weil manche Einsätze ( Butterfach usw. ) schlecht zu demontieren sind.
Tip wenn man absolut keine Kompromisse eingehen möchte: Geräte von Liebherr sind ( nach meiner Erfahrung ) in allen Punkten einen Tick besser, und durchdachter, aber halt auch teurer....Liebherr und Miele Kühl-Gefriergeräte dürften ""baugleich"" sein."
;5;07. Jan 12;Ligacz Gerhard;;5;Sternen Siemens KG 39EAL40 Kühlgefrierkomination;"Ich bin sehr zufrieden mit der lieferung und aufstellung hat alles gut geklappt.

Die Kühlgefrierkomination würde ich weiter empfelen noch ist alles OK."
;6;09. Jan 12;Hifitechnik70;;3;Der lauteste Kühlschrank den ich kenne und Feuchtbiotop;"Ich habe mir diesen Kühlschrank gekauft weil ich großen Wert auf Energieersparniss lege. Da die Geräte von Bosch und Siemens als einzige mit A+++ in Frage kamen habe ich mich für eins dieser Modelle entschieden. Die Optik, Verarbeitung und innenaufteilung ist Ok. Als ich das beigelegte Informationsblatt sah musste ich zuerst schmunzeln, weil da die Geräusche die der Kühlschrank machen soll bildlich dargestellt waren und als normal dargestellt sind. Als ich diese Geräusche dann nach dem Anschließen zu hören bekam verging mir allerdings das Schmunzeln recht schnell. Der laufende Ventilator nach dem Öffnen der Tür ist noch das leiseste Geräusch. Wenn sich das Gerät zwischendurch einschaltet vernimmt man als erstes ein relativ lautes ""Klack"" welches wohl durch das Magnetventil für den Kühlmittelkreislauf verursacht wird. Dann läuft der Ventilator los was auch noch leise ist. Dann allerdings fängt es an zu prasseln und zu gluckern. Dieses Geräusch ist so laut das ich es im Nebenraum trotz eingeschaltetem Tv deutlich hören kann. Da andere Benutzer das gleiche Phänomen beschreiben und der Service behauptet das dies bei den Geräten durch das neue Kältemittel verursacht wird habe ich mich damit abgefunden. Gewöhnen kann ich mich allerdings nicht daran. Ein Vorteil des Gerätes sah ich zuerst auch in der akustischen Warnung wenn eine Tür zu lange offen steht. Diese Funktion ist aber absolut unbrauchbar da der Warnton nur ertönt wenn die Tür weit genug offen steht. Der Türkontakt ist zu ungenau eingestellt. Wenn aus versehen die Tür einen Spalt offen steht ertönt kein Warnsignal nach einer Minute sondern erst nachdem die Elektronik eine zu hohe Temperatur feststellt was durchaus eine halbe Stunde dauern kann. Mir ist es schon passiert das nach herausziehen der untersten Schublade des Gefrierfaches der kleine Nippel für das Abtauwasser herausgeklappt ist und dadurch die Tür nicht richtig zu ging. Der Alarm ging erst los als das Gefrierfach schon komplett vereist war und die Elektronik eine zu hohe Temperatur festgestellt hat.
Es ist schade wenn ein Gerät technisch auf hohem Niveau entwickelt wird, dies aber praktisch durch ungenaue Fertigung zunichte gemacht wird.
Nach jetzt einem Jahr Nutzung musste ich feststellen das sich unter der großen ""Crisper"" Schublade das Wasser sammelt, bzw sich am Boden durch Kondensation bildet und dann eine richtige Pfütze entsteht. Ich vermute mal weil der Boden durch den darunter liegenden Eisschrank sehr kalt ist. Dadurch ist der gesamte Innenraum ständig feucht was ich von meinem vorherigen Kühlschrank nicht kannte. Man muss also regelmäßig die große Schublade herausnehmen und das Wasser mit einem Lappen aufwischen.
Mittlerweile würde ich diesen Kühlschrank nicht mehr kaufen"
;7;12. Jan 12;"Ulrich Weiler ""Commissario""";;5;Siemens KG39EAI40 kühl-gefrierkombi;"Siemens  KG39EAI40
kühl-gefrierkombi - 

entschärfte version---
ich möchte hier und heute mal etwas anders und extrem lang
auf diesen artikel und die probleme eingehen

vorweg...
amazon und siemens haben hier ein echtes leckerchen hingelegt...Spitzengerät!!!!!!!!!!
mein vertrauen wird allerdings durch DHL und den subunternehmer erschütttert,der den transport übernahm

positiv---

zum gerät:
-siemens qualität,unabhängig vom produktionsort des geräts, erstklassig!!!
-verarbeitung,verpackung innen,wirklich klasse und gut
-produkt ist extrem leise,und wirklich geräumig
-einige clevere und auch interessante gags..
-einfache und effiziente led bedienungsleiste
-geräuschentwicklung angemessen und nicht störend!!!
-gewohnte amazon qualität

negativ---
-abweichung beim produkt von der beschreibung(flaschenhalterung,ect)
-ablauf der bestellung
-wunschtermin nicht eingehalten
-3x lieferversuch
-ware beschädigt angeliefert

die teilweise bei diesem artikel beschriebenen phänomene,kann ich so nicht nachvollziehen!!!
ich gebe zu das bei meinem umstieg von einem 11 jahre alten gerät auf siemens 2011 geräte
klar eine totale verbesserung eintritt
ich wundere mich allerdings wie empfindlich doch manche kundenohren hier sind????
jemand der in der stadt wohnt kann unmöglich leise summen oder gurgeln gelegentlich als störend empfinden,
wo allein in köln die polizeisirenen im minutentakt sowas unlogisch erscheinen lassen
in den allermeisten wohnungen ist der kühlschrank weit genug weg vom endbenutzer...
albern das als störend zu empfinden....
tatsache ist ...ein neuer kühlschrank ist logischerweise wesentlich leiser als 10 jahre alte geräte
daher unverständlich was hier manche schreiben,lautstärke ,gluckern usw

mein alter kühlschrank hatte ein dauergeräusch,leises brummen,hohen stromverbrauch

das ein a+++ gerät natürlich bei jeder türöffnung anspringt hängt mit der enrgiespartechnik zusammen
bei verlust sofort kühlen...
logischerweise springt also das gerät sofort merklich an und macht sich durch gluckern,und anderes bemerkbar,genau dann wenn man mit dem kopf davor hängt..

ist die tür zu und man ist 1m weg herrscht totenstille...

auch ist der verbrauch abhängig vom standort und den typischen benutzer gewohnheiten
wenn de rbenutzer unökologisches verhalten hat..kann der kühlschrank von siemens
nicht den gewünschten wert beim verbrauch erreichen,logisch
ebenso bei falscher aufstellung,neigung,zu wenig wandabstand und oftmaligen
öffnen bishin zu minutem langen türe aufhalten..
ich denke da mü+ssen die verbraucher auch umdenken

alles in allem ist das bei meinem gezahlten preis ein spitzen gerät!!!

negativ!!!
ablauf der bestellung:
-es wurde ein wunschtermin gemacht!!!!!!...weil die möglichkeit bestand,habe ich das wargenommen
-auslieferung durch DHL !!!! steht da auch
-erster termin 5 januar,niemand kam, grund---fahrer hatte einen unfall
-zweiter termin 9 januar,niemand kam grund---fahrer hat adresse nicht gefunden
-dritter termin 11 januar,jemand kam auslieferung durch die spedition hasenkamp,3 personen
11 tage ohne kühlschrank
9 telefonate
4x kontak mit dem sehr komopetenten amazon telefondienst
5 anrufe bei der spedition hasenkamp

die thematik amazon,dhl,spedition hasenkamp kerpen ist in epischer breite im internet nachzulesen
doch wer das tut...kommt zu dem fazit
zur zeit im großraum köln
keinerlei großgerät bei amazon zu bestellen

in meinem falle hervorzuheben
-konsequent gute und hilfreiche amzon beratung,vor allem bei direkten problemen
-ausgezeichnet gute,sachkundige und sehr nette berater und beraterinnen am amazon telefon

nach enormen druck seitens amazon
telefonat mit einem richtig kompetenten berater bei der spedition hasenkamp
dann erfolgte einen tag später die lieferung
-------------------------------------------------------------------------------------
technische infos/tipps
ausgesprochen wenig wird bei amazon über den eigentlichen teil ,das aufstellen,gesprochen!!!

das gerät ist sehr schwer und die geräte abmaße sind bitte wörtlich zu nehmen!
daraus ergeben sich bei küchentüren,wenn vorhanden,diagonal probleme(höhe,breite)
da nicht alle türfassungen/zargen 2m oder mehr sind ist das zu berücksichtigen

so ein großgerät bei normalen oder auch kleineren türen hindurchzuzirkeln,bedarf doch der planung!!!

wichtig!
auspacken:
nach dem auspacken ,da speditions-lieferung muß das gerät,
vor allem im oberen bereich auf schäden kontrolliert werden,kanten,kühleinheit unten ect...

anschlagswechsel:
nich! zuerst aufstellen sondern...zu allererst ,falls anschlagswechsel notwendig sind,
das gerät leicht kippen,damit man auch unten die anschläge und die feststellschrauben wechseln kann
in der bedienungsanleitung gibt es ein bild dazu!!!
mitgeliefert wir ein tütchen mit neuen abdeckkappen für die schrauben
die alten gehen beim wqechsel kaputt
sensibel sind auch die abdeckkappen der griffe!!!
feinfühlig mit viel gefühl herausdrücken

falls diese arbeiten kein techniker von siemens oder sonstwie übernimmt,...
langsam und vorsichtig arbeiten...gerade bei debn griffen wird man es später sehen
man hat noch die möglichkeit bei kratzern..die griffe von oben nach unten und nochmal
spiegelbildlich zu drehen..so verschwinden kleine macken eventuell

ausrichten
das gerät lässt sich sehr leicht schieben und ziehen,da hinten wersseitig zwei rollen angebracht sind
beide fuß-einstellschrauben zuerst auf anschlag drehen,in de rregel sind
die fußböden realtiv gerade in neuen küchen
der kühlschrank muß zwingend in der wasserwage gut stehen,ansonsten ergeben sich daraus,
wie hier oft erwähnt,zusätzliche geräuschprobleme,zu anfang
steht das gerät nicht gerade,werden die türen eher auf oder eher zugehen,was nervig ist

mitgeliefert werden zwei weisse ca 50mm lange plastikteile
das sind wandabstandshalter
der kühlschrank braucht minimum 50mm platz zur wand,besser mehr
stimmt diser abstand nicht,wirds wärmer,er springt öfters an und verbraucht mehr kühlleistung

anschalten:
na ca 2 stunden standzeit eher länger,würde ich das gerät erst einschalten
leer!!!
nicht auswaschen oder mit anderen mitteln behandeln,das erzeugt nur kondens oder eisbildung
zu anfang wird der alarmton ertönen,und erst wenn die wersseitig eingestellte temperatur erreicht ist,
geht die anzeige alarm(rot) aus
das steht so nirgends in der anleitung

betrieb:
ich empfehle zu kontrollzwecken bei amazon erhätliche kühlschrank thermometer
um eventuelle abweichungen oder auftretende schwankungen genauer zu prüfen,bevor man den seimesn techniker ruft

anmerkungen:
was mich hier eigentlich sehr wundert ist auch...
die völlig emotionlose bebilderung eines artikels der eigentlich ca 1000 euro kostet
nirgendwo im ganzen internet oder zumindest nach langer suche,sieht man mal bilder im detail
so richtig nah,schubladen,led, usw..."
;8;29. Jan 12;Efree19;;5;Genial;"Für unsere neue Küche haben wir uns nach langem hin und her für dieses Modell entschieden - worüber wir sehr froh sind.
Unsere Kaufkriterien waren: Weiß, groß, sparsam, qualitativ hochwertig, getrennte Kühlkreisläufe für Kühl- und Gefrierteil, Gemüse- und Fleischfach. Der KG39EAW40 erfülltsie alle.

GRöSSE: über 2 Meter -ein Traum! Endlich Platz! (Wer auch mal kleine (Einbau-)Kühlschränke hatte, weiß wovon ich rede.)
FARBE: In weiß super edel und chick - Edelstahl-look war noch nie mein Fall. Inzwische ist es richtig schwierig geworden, hochwertige weiße Küchengeräte zu bekommen, zumeist teurer als die silbernen, baugleichen Modelle. Aber das ist Geschmackssache.
SPARSAM: Mehr Platz soll er haben, aber nicht mehr verbrauchen - schließlich wird Strom jährlich teurer und ein guter Kühlschrank verbleibt ein Jahrzehnt im Hause - da rechnet sich jede Kilowattstunde - auch, wenn der Kaufpreis ca. 100 EUR über vergleichbaren A++ Geräten liegt. Die sind schnell wieder eingespart und dann ists unterm Strich sogar günstiger. Bosch-Siemens bietet A+++-Geräte zu einem guten Preis an. Sparsamere Geräte gibts aktuell nicht. TOP!
Die GETRENNTEN KÜHLKREISLÄUFE bieten die Möglichkeit, die Kühl- und Gefriertemperatur unabhängig voneinander zu regulieren und z.B. das Gefrierteil abzuttauen, ohne den Kühlschrank auch abzuuschalten. Wir habens im Kühlschrank gern etwas kälter, damit der Inhalt länger hält so 4-5 Grad. Im Gefrierschrank sollens dagegen ""nur"" -18 sein, mehr ist unnötig.
QUALITÄT: WOW! Nicht zu vergleichen mit billigen Supermarktgeräten. Jeder Blick hinein ist eine Freude - die coole LED-Beleuchtung, die edlen Glassböden, das große Gemüsefach (Gemüse hält ewig und bleibt total knackig!), extrakaltes Fleischfach und einklapppbarer Zwischenboden für z.B. Getränke. Alles massiv, nichts klappert und knarzt, auch die Tür macht einen soliden Eindruck. Ist so, wie wenn man Jahrelang Kleinwagen gefahren ist und dann auf eine komfortable Limousine umsteigt. das Gefrierteil ist außreichend groß und macht ebenfalls einen guten Eindruck.
++++++++++++++++
Negativberichte und unsere Erfahrungen dazu:

Einige Kunden beklagen die Lautstärke des Kühlschranks im Betrieb - können wir nicht bestätigen. Wir haben eine Wohnküche und hören ausser das normale leise, gelegentliche Summen keine störenden Geräusche. Das Beschriebene blubbern tritt zwar manchmal auf, ist aber sehr leise und dauert nie lange an. Ist unser leisester Kühlschrank bisher. Und wer hört schon gespannt den Kühlschrankgeräuschen zu? Es gibt im Alltag tausende andere Geräusche, denen man seine Aufmerksamkeit schenkt, und sei es das Küchennradio. Bauartbedingt kann ein KS garnicht lautlos arbeiten. Berichte über laute KS meiner Meinung nach übertrieben.
Warnton bei Tür-Öffen funktioniert nur bei weit offener Tür: KS-Tür offen gelassen ist mir persönlich noch nicht einmal passiert. Trotzdem mag mancheiner diese Funktion brauchen, deshalb gehe ich mal darauf ein: Der Signalton ertönt bei uns zuverlässig nach ca. einer Minute. (Man hört übriegens auch ohne signal am schließgeräusch, ob die Tür richtig zugeschnappt ist oder nicht)
FAZIT: Der Kühlschrank ist jeden Cent wert, also eine absolute Kaufempfehlung. Tip: Wer den Platz hat, kann zum KG49EAW40 greifen - der ist noch cooler, da 10 Zentimeter Breiter, was optisch wie ich finde noch besser aussieht und noch mehr Platz im inneren bietet.
"
;9;08. Feb 12;"R. Bahr ""iPODer""";;5;Top Kühlschrank;"Bin von der Qualität (Ausstattung/Ausführung/Betrieb) sehr begeistert, und kann das Produkt nur empfehlen!
Auch der Transport nach Österreich hat mich überzeugt, obwohl ich am Anfang so meine Zweifel hatte.
Die Spedition ruft aber für eine Terminvereinbarung an, und die Termine haben auch immer 1A geklappt!"
;10;20. Feb 12;zahnriemen;;5;Sehr gute Qualität;"Unsere alte A Kühl-Gefrier-Kombi kam nach meinen Messungen auf ca. 500kWh im Jahr, also musste etwas neues her.
Die Wahl bestand zwischen der Siemens und Bosch Kombi. Da baugleich entschied ich mich für die Siemens, da etwas günstiger und lieferbar.

Angekündigt war DHL, geliefert wurde aber durch eine Spedition. Die beiden Lieferanten waren sehr freundlich und zuvorkommend. Da habe ich schon anderes erlebt. Also deutlich Verbesserung des Personals. Der Liefertermin mit vorheriger Ankündigung wurde fast auf die Minute eingehalten.

Zum Gerät: Macht einen sehr wertigen Eindruck. Zu den techn. Details ist hier schon viel gesagt. Abweichend möchte ich hinzufügen, dass in meinen Augen die Beleuchtung hervorragend ist. Weiterhin kann ich die Kritik zum Geräuschpegel nicht verstehen. Diese Kombi produziert fast keine wahrnehmbaren Geräusche."
