"","1","2","3","4","5"
"-3.0472",0,0,0,0,1
"-2.3118",0,0,0,0,1
"-1.5412",0,1,0,0,0
"-1.4301",0,0,0,0,1
"-1.2674",0,0,0,0,1
"-1.1115",1,0,0,0,0
"-1.0779",0,0,0,0,1
"-1.0421",0,0,0,0,1
"-0.9686",0,0,0,0,1
"-0.8402",0,0,0,0,1
"-0.8314",0,0,0,0,1
"-0.7833",0,0,0,0,1
"-0.7771",0,0,0,0,1
"-0.7706",0,0,2,1,15
"-0.7666",0,0,0,0,3
"-0.7637",0,0,0,0,1
"-0.7626",1,0,0,0,0
"-0.7618",0,0,0,0,3
"-0.6815",0,0,0,0,1
"-0.6744",0,0,0,0,1
"-0.6581",0,0,0,1,0
"-0.6537",0,0,0,0,1
"-0.6488",0,0,1,0,0
"-0.581",0,0,0,1,0
"-0.5442",0,0,0,0,1
"-0.5016",0,0,0,0,1
"-0.4972",0,0,0,0,1
"-0.4913",0,0,0,0,1
"-0.4691",0,0,0,0,1
"-0.4651",0,0,0,1,0
"-0.4546",0,0,0,0,1
"-0.4198",0,0,0,0,1
"-0.4113",0,0,0,0,1
"-0.399",0,0,0,0,2
"-0.395",1,0,0,0,0
"-0.3902",0,0,0,0,2
"-0.3891",0,0,0,0,1
"-0.3865",0,0,0,0,1
"-0.3746",0,0,0,0,1
"-0.3571",0,0,0,0,1
"-0.336",0,0,0,1,0
"-0.332",0,0,0,0,3
"-0.3065",0,0,0,1,0
"-0.3034",1,0,0,0,0
"-0.3025",0,1,0,0,0
"-0.2984",0,0,0,0,1
"-0.296",0,0,0,0,1
"-0.2819",0,0,0,0,1
"-0.2715",0,2,1,3,10
"-0.2675",0,0,0,0,12
"-0.2635",0,0,1,0,1
"-0.2101",0,0,0,0,1
"-0.1996",0,0,0,0,1
"-0.1915",0,0,0,0,2
"-0.1875",0,0,0,0,1
"-0.1846",0,0,0,0,1
"-0.1795",0,0,0,0,1
"-0.1745",0,0,0,0,2
"-0.1715",0,0,0,0,1
"-0.1714",0,0,0,0,1
"-0.1701",0,0,0,0,1
"-0.1656",0,0,0,0,1
"-0.1546",0,0,0,0,3
"-0.1531",0,0,0,0,1
"-0.1503",0,0,0,0,1
"-0.1388",0,0,0,0,1
"-0.1384",0,0,0,0,1
"-0.134",0,0,0,0,1
"-0.1243",0,0,0,0,1
"-0.1177",0,0,0,0,1
"-0.1118",0,0,0,0,1
"-0.0987",0,1,0,0,0
"-0.0945",0,0,0,0,1
"-0.083",0,0,0,0,1
"-0.071",0,0,0,0,1
"-0.0542",0,0,0,0,1
"-0.0517",0,0,0,0,1
"-0.0408",0,0,0,0,1
"-0.0369",0,0,0,0,2
"-0.0357",0,0,0,0,1
"-0.035",0,0,0,0,1
"-0.0349",0,0,0,0,1
"-0.0329",0,0,0,0,1
"-0.0326",0,0,0,0,1
"-0.0325",0,0,0,0,1
"-0.0311",0,0,0,1,0
"-0.0234",0,0,0,0,1
"-0.0167",1,0,0,0,3
"-0.0149",0,0,0,0,1
"-0.012",0,0,0,0,1
"-0.0048",0,0,0,0,7
"-0.000799999999999999",0,0,0,0,2
"0",8,11,15,18,589
"0.0032",0,0,0,0,3
"0.004",1,1,2,5,150
"0.0072",0,0,0,0,1
"0.008",0,0,0,1,25
"0.0116",0,0,0,0,5
"0.012",0,0,0,0,3
"0.0156",0,0,0,0,1
"0.016",0,0,0,0,1
"0.0196",0,0,0,0,1
"0.0313",0,0,0,0,1
"0.0356",0,0,0,0,2
"0.0711",0,0,0,0,1
"0.0792",0,0,0,0,1
"0.08",0,0,0,0,25
"0.0839",0,0,0,0,1
"0.084",0,0,0,0,8
"0.0851",0,0,0,0,2
"0.0859",0,0,0,0,1
"0.0874",0,0,0,0,1
"0.088",0,0,0,0,4
"0.0894",0,0,0,0,1
"0.097",0,0,0,0,1
"0.0974",0,0,0,0,9
