"","1","2","3","4","5"
"-1.5477",0,0,1,0,0
"-0.2715",0,0,0,1,0
"-0.268",0,1,0,0,0
"-0.2084",0,0,0,1,0
"-0.1858",0,0,0,0,1
"-0.134",0,1,0,0,0
"-0.1033",1,0,0,0,0
"-0.0048",0,0,0,1,0
"0",1,1,0,1,2
"0.004",1,0,0,1,0
"0.008",0,0,0,0,2
"0.1209",0,0,0,0,1
"0.3591",0,0,0,0,1
"0.3716",0,0,0,0,1
"0.3756",0,0,0,0,2
"0.4885",0,0,0,0,1
"0.4887",0,0,0,0,1
"0.512",0,0,0,0,1
"0.6199",0,0,0,0,1
"0.7299",0,0,1,0,0
"0.7333",0,0,0,0,1
"0.7432",0,0,1,0,1
"0.751",0,0,0,0,1
"0.8369",0,0,0,0,1
"1.1636",0,0,0,0,1
"1.1828",0,0,0,0,1
"1.2317",0,0,0,0,1
"1.2319",0,0,0,1,0
"1.2399",0,0,0,0,1
"1.3202",0,0,0,0,1
"1.3297",0,0,0,0,1
"1.3513",0,0,0,0,1
"1.353",0,0,0,0,1
"1.5665",0,0,0,0,1
"1.6294",0,0,0,1,0
"1.7823",0,0,0,0,1
"1.9658",0,0,0,0,1
