"","1","2","3","4","5"
"-1.1329",0,0,0,0,1
"-1.008",0,0,0,0,1
"-0.7873",0,1,0,0,0
"-0.7706",0,0,1,0,0
"-0.7666",0,0,0,1,0
"-0.7626",1,0,0,0,0
"-0.7618",0,0,0,1,0
"-0.6688",0,0,0,0,1
"-0.51",0,0,0,0,1
"-0.395",0,0,0,0,1
"-0.3623",0,0,0,0,2
"-0.2851",0,0,0,0,1
"-0.2842",0,0,0,0,1
"-0.2715",0,0,0,1,0
"-0.2675",0,0,0,0,1
"-0.1756",0,0,0,0,1
"-0.1683",0,0,0,0,1
"-0.1665",0,1,0,0,0
"-0.13",0,0,0,0,1
"-0.0672",0,0,0,0,1
"-0.0426",0,0,0,1,0
"-0.0215",0,0,0,0,1
"-0.0167",0,0,0,0,1
"-0.0107",0,0,0,1,0
"-0.0048",0,0,1,0,1
"-0.000799999999999999",0,0,0,0,1
"0",3,2,1,4,66
"0.004",1,0,0,1,19
"0.008",0,0,0,0,2
"0.0384",0,0,0,0,1
"0.0874",0,0,0,0,2
"0.0974",0,0,0,0,2
"0.1014",0,0,0,0,1
"0.1041",0,0,0,0,1
"0.1107",0,0,0,0,1
"0.1131",0,0,0,0,3
"0.1169",0,0,0,0,2
"0.1808",0,0,0,0,2
"0.1975",0,0,0,0,1
"0.2101",0,0,0,0,1
"0.2262",0,0,0,0,1
"0.23",0,0,0,0,1
"0.2315",0,0,0,0,1
"0.2349",0,0,0,0,1
"0.2389",0,0,0,1,0
"0.2396",0,0,0,1,0
"0.2416",0,0,0,0,1
"0.3549",0,0,0,1,1
"0.3668",0,0,0,0,1
"0.3686",0,0,0,1,4
"0.3708",0,0,0,0,3
"0.3716",0,0,1,4,38
"0.3756",0,0,1,0,10
"0.3796",0,0,0,0,1
"0.3832",0,0,0,0,2
"0.4511",0,0,0,0,1
"0.4594",0,0,0,0,1
"0.469",0,0,0,0,1
"0.4718",0,0,1,0,0
"0.4734",0,0,0,0,1
"0.4885",0,0,0,0,1
"0.4887",0,0,0,0,1
"0.4895",0,0,0,0,1
"0.5066",0,0,0,0,1
"0.574",0,0,0,1,0
"0.5794",0,0,0,0,1
"0.5892",0,0,0,1,0
"0.5983",0,0,0,0,1
"0.6065",0,0,0,0,2
"0.6145",0,0,0,0,1
"0.7154",0,0,0,0,1
"0.7246",0,0,0,0,4
"0.7286",0,0,0,0,1
"0.7314",0,0,0,0,1
"0.7317",0,0,0,0,1
"0.7402",0,0,0,0,2
"0.7432",0,0,0,0,6
"0.7472",0,0,0,0,3
"0.8231",0,0,0,0,1
"0.8406",0,0,0,0,1
"0.8555",0,0,0,0,1
"0.8601",0,0,0,0,1
"0.8603",0,0,0,0,1
"0.8683",0,0,0,0,1
"0.938",0,0,0,0,1
"0.9577",0,0,0,0,1
"1.0962",0,0,0,0,1
"1.225",0,0,0,0,1
"1.3219",0,0,0,0,1
"1.8248",0,0,0,0,1
