"","1","2","3","4","5"
"-0.4055",0,0,0,1,0
"-0.2819",0,1,0,0,1
"-0.1009",0,0,1,0,0
"-0.0351",0,0,0,1,0
"0",1,0,0,0,0
"0.008",0,0,0,0,1
"0.0511",0,0,0,1,0
"0.0937",0,0,0,1,0
"0.3302",0,0,0,0,1
"0.3504",0,0,0,0,1
"0.3716",0,0,0,0,2
"0.3756",0,0,0,0,1
"0.3796",0,0,0,0,2
"0.4816",0,0,0,0,1
"0.4847",0,0,0,0,1
"0.4927",0,0,0,0,1
"0.5057",0,0,0,0,1
"0.5766",0,0,0,0,1
"0.5855",0,0,0,0,1
"0.7105",0,0,0,1,0
"0.7371",0,0,0,0,1
"0.7716",0,0,0,0,1
"0.7856",0,0,0,0,1
"0.8153",0,0,0,0,1
"0.9297",0,0,0,0,1
"0.9397",0,0,0,0,1
"0.9802",0,0,0,0,1
"1.0525",0,0,0,0,1
"1.2224",0,0,0,0,1
"1.3494",0,0,0,0,1
"1.4878",0,0,1,0,0
"1.5585",0,0,0,0,1
"1.5908",0,0,0,0,1
"1.6035",0,0,0,0,1
"2.1194",0,0,0,0,1
"2.2001",0,0,0,0,1
"2.6427",0,0,0,0,1
