"","1","2","3","4","5"
"-3.0472",0,0,0,0,1
"-2.3118",0,0,0,0,1
"-1.5412",0,1,0,0,0
"-1.1115",1,0,0,0,0
"-1.0779",0,0,0,0,1
"-1.0421",0,0,0,0,1
"-0.7706",0,0,1,1,3
"-0.7666",0,0,0,0,1
"-0.7626",1,0,0,0,0
"-0.7618",0,0,0,0,1
"-0.6488",0,0,1,0,0
"-0.5016",0,0,0,0,1
"-0.4651",0,0,0,1,0
"-0.4198",0,0,0,0,1
"-0.395",1,0,0,0,0
"-0.3902",0,0,0,0,2
"-0.336",0,0,0,1,0
"-0.3065",0,0,0,1,0
"-0.3034",1,0,0,0,0
"-0.2715",0,0,0,1,1
"-0.2675",0,0,0,0,4
"-0.2635",0,0,1,0,0
"-0.1915",0,0,0,0,1
"-0.1745",0,0,0,0,1
"-0.1714",0,0,0,0,1
"-0.1503",0,0,0,0,1
"-0.1388",0,0,0,0,1
"-0.0987",0,1,0,0,0
"-0.0945",0,0,0,0,1
"-0.0311",0,0,0,1,0
"-0.0234",0,0,0,0,1
"-0.0167",1,0,0,0,2
"-0.0048",0,0,0,0,1
"0",3,2,5,7,117
"0.004",0,1,0,1,35
"0.008",0,0,0,0,6
"0.0156",0,0,0,0,1
"0.0313",0,0,0,0,1
"0.08",0,0,0,0,6
"0.084",0,0,0,0,1
"0.0859",0,0,0,0,1
"0.097",0,0,0,0,1
"0.0974",0,0,0,0,3
"0.1011",0,0,0,0,2
"0.1014",0,0,0,0,1
"0.1041",0,0,0,0,2
"0.1081",0,0,0,0,1
"0.1131",0,0,0,0,2
"0.1169",0,0,1,0,6
"0.1249",0,0,0,0,1
"0.2344",0,0,0,0,2
"0.2418",0,0,0,1,2
"0.288",0,0,0,0,1
"0.2922",0,0,0,0,1
"0.3115",0,0,0,0,1
"0.3149",0,0,0,0,2
"0.3223",0,0,1,0,0
"0.3357",1,0,0,0,0
"0.3406",0,0,0,0,1
"0.3668",0,0,0,0,4
"0.3686",0,0,0,0,3
"0.3716",0,0,0,1,92
"0.3756",0,0,0,1,11
"0.3796",0,0,0,0,3
"0.3836",0,0,0,0,2
"0.3988",0,0,0,0,1
"0.4505",0,0,0,0,1
"0.4516",0,0,0,0,3
"0.4562",0,0,0,0,1
"0.469",0,0,0,0,3
"0.4717",0,0,0,0,1
"0.4718",0,0,0,0,1
"0.473",0,0,0,0,1
"0.4885",0,0,0,0,8
"0.4887",0,0,0,0,6
"0.4925",0,0,0,0,1
"0.4965",0,0,0,0,1
"0.5041",0,0,0,0,1
"0.5635",0,0,0,0,1
"0.606",0,0,0,0,1
"0.6065",0,0,0,0,1
"0.6134",0,0,0,0,1
"0.7049",0,0,0,0,1
"0.7146",0,0,0,0,1
"0.7246",0,0,0,0,6
"0.7265",0,0,0,0,1
"0.7276",0,0,0,0,1
"0.7286",0,0,0,0,3
"0.7307",0,0,0,0,1
"0.7402",0,0,0,0,3
"0.7432",0,0,0,0,20
"0.7472",0,1,0,0,2
"0.7592",0,0,0,0,1
"0.8232",0,0,0,0,1
"0.8601",0,0,0,0,1
"0.8681",0,0,0,0,1
"0.8683",0,0,0,0,1
"0.8717",0,0,0,0,1
"0.914",0,0,0,0,1
"0.9269",0,0,0,0,1
"0.9426",0,0,0,1,0
"0.9481",0,0,0,0,1
"1.0842",0,0,0,0,1
"1.087",0,0,0,0,1
"1.0962",0,0,0,0,3
"1.1002",0,0,0,0,1
"1.1023",0,0,0,0,1
"1.1148",0,0,0,0,1
"1.4546",0,0,0,0,1
"1.4648",0,0,0,0,1
"1.4678",0,0,0,0,1
"1.5847",0,0,0,0,1
"1.9287",0,0,0,0,1
"2.4162",0,0,0,0,1
"2.5454",0,0,0,0,1
