,,,sterne_de,zeit,sterne,titel,beschreibung
,,,5.0 von 5 Sternen,3. April 2014,5,Top Preis-Leistungsverhältnis,"Shirt passt absolut Super.,Sehr gute Qualität zu günstigem Preis.,Ähnliche Shirts oft deutlich höherpreisiger.,Deshalb, wer so etwas sucht, klare Kaufempfehlung👍"
,,,4.0 von 5 Sternen,24. März 2014,4,Top Top Top,"super shirt - es macht was es soll, den körper trocken halten.,Einziger Nachteil man sieht die schweißfecken beim training, was aber nicht weiter tragisch ist."
,,,5.0 von 5 Sternen,19. März 2014,5,Qualität,"Nach dem ich bereits mehrere Unterziehshirts getestet habe, ist das von Nike mit Abstand das beste!,Breiter Bund, verrutscht kaum und die Größenangabe passt!,Sehr gute Wahl!"
,,,5.0 von 5 Sternen,3. August 2013,5,TOP!!!,"+ Super Qualität,+ Sitzt wie eine 2-te Haut (reizt die Haut nicht / passt sich perfekt den Körperkonturen an),+ Transportiert den Schweiß beim Training sehr gut vom Körper weg,+ Angenehm kühl beim Training,+ Sehr dehnbar (macht jede Bewegung Perfekt mit),+ Trotz Größe ""S"" ist das Shirt sehr lang,____________________________________________________________________,Es gibt an dem Shirt NICHTS zu bemängeln."
,,,5.0 von 5 Sternen,20. April 2015,5,Bin sehr zufrieden.,"Hallo an alle,,wie oben schon zusammengefasst, bin ich sehr zufrieden. Die Größe ist wie in der Tabelle angegeben, das Shirt ist gut verarbeitet, kühlt bei Schweißbildung. Mal sehen wie es nach einigen Waschgängen aussieht und ob das Elastan dann noch so gut seine Arbeit macht ;),Mit freundlichen Grüßen,D.P."
,,,5.0 von 5 Sternen,7. Mai 2015,5,DAUMEN HOCH!!!!!,Ein super funktionsshirt! Ich optisch einfach klasse sehr gute Verarbeitung. Deutlich teurere Produkte kommen zumindest optisch nicht an das hier ran. Es hält das was es verspricht! Zu diesem Preis kann ich es nur weiterempfehlen!!! Jedoch findet man auf anderen Seiten das gleiche Produkt für 4-5 Euro günstiger. Vergleichen lohnt sich!
,,,2.0 von 5 Sternen,6. Januar 2015,2,schlechtes bild,"anders wie auf dem bild (rot) sind die streifen auf den funktionsshirt rosa.....ich hab extra 7 euro mehr bezahlt um es in dieser farbkombination zu bekommen, und dann sowas. da shirt an sich ist super und angenehm zu tragen aber es sieht nicht so aus wie auf dem bild deshalb 2 sterne"
,,,5.0 von 5 Sternen,9. Mai 2015,5,Schönes Teil,"Ich hab ein wenig gestöbert und bin hier drüber gestolpert,Wollte was für AH drunter zu ziehen,Semi professioneller Fußball...,Alle sgut, Top Teil,Bei mir passte es in meiner üblichen Größe"
,,,5.0 von 5 Sternen,12. September 2014,5,Klasse Shirt!!!!,"Super angenehmes Shirt, benutze es zum Joggen und erfüllt dabei absolut seinen Zweck!!! Zudem angenehmer Stoff auf der Haut sowie ein sehr schönes Design!!! Shirt fällt etwas lang aus ansonsten gute Passform"
,,,5.0 von 5 Sternen,17. Januar 2015,5,Gut,Gutes Shirt - angenehm auf der Haut - Nach 4x Waschen immer noch sehr gut und eng. Nix zu meckern
,,,5.0 von 5 Sternen,27. November 2014,5,Wie beschrieben,"Ich habe aufgrund einiger Rezensionen eine Größe kleiner bestellt als sonst. Dies war meiner Ansicht nach nicht gut, das Shirt sitzt zu eng. Also ruhig in der normalen Größe bestellen."
