,,,sterne_de,zeit,sterne,titel,beschreibung
,,,5.0 von 5 Sternen,27. August 2013,5,Sehr gute Haltbarkeit,"Die bestellte Größe passt, die Farbe ist schön, Länge gut und auch nach mehreren Wäschen alles in Ordnung.,Kaufempfehlung!,Da macht Sport Spaß!"
,,,5.0 von 5 Sternen,1. Dezember 2013,5,angenehm leicht,Das Trikot besteht aus sehr angenehm leichtem Material. Es kratzt nicht und ist daher ideal für alle Sportarten geeignet. Man spürt es praktisch nicht.
,,,5.0 von 5 Sternen,8. Februar 2013,5,Nur zu Empfehlen,Es gibt nicht viel zu sagen da das Trainingsshirt einfach Hamma ist. Es ist sehr leicht und Verklebt nicht wenn man beim Trainieren schwitzt. SUPER
,,,5.0 von 5 Sternen,6. September 2013,5,Alles ok.,"Sitzt gut, sehr Bequem, ist auch ordentlich Genäht und gut Verarbeitet. Bin sehr zufrieden mit dem Produkt und würde das weiter empfehlen."
,,,5.0 von 5 Sternen,30. August 2013,5,Top Qualität,"Sehr angenehm zu tragen, gute Passform, sehr guter Flüssigkeitstransfer nach außen. Ich kann es nur empfehlen und würde es wieder kaufen."
,,,5.0 von 5 Sternen,2. Juni 2013,5,"Puma Herren Training T-Shirt Foundation team violet-black XL, 65309",Das Shirt entspricht genau meinen Vorstellungen. Es trägt sich sehr angenehm und trocknet sehr schnell. Man kann es nur weiter empfehlen.
,,,5.0 von 5 Sternen,7. Mai 2013,5,T-Shirt,"alles super und ok., sehr schön, wie vorgestellt. Ich bin sehr zufrieden!!,Würde immer wieder kaufen wenn die Qualität immer so ist."
,,,5.0 von 5 Sternen,26. September 2013,5,PUMA T-Shirt Foundation,"Habe das Trainingsshirt um 9,95€ inkl. Versand gekauft. Material = 100% Polyester. Das Material ist dünn und angenehm zu tragen. Um knapp 10 Euro definitiv wert es zu kaufen."
,,,5.0 von 5 Sternen,12. November 2014,5,Super Preis/Leistung,Echt gutes Shirt. Man schwitzt kaum und man bleibt warm. Es ist jedoch ziemlich eng geschnitten am Hals... Stört mich persönlich nicht.
,,,5.0 von 5 Sternen,14. April 2014,5,Schönes Shirt,"Das Shirt ist qualitativ sehr gut, leider war das Shirt meinem Sohn zu kurz. Wenn man nicht grade 2m groß ist, wird es bestimmt passen."
,,,5.0 von 5 Sternen,19. Dezember 2014,5,Gute Qualität,"Zum Training optimal. Auch wenn man stark schwitzt, sieht man das nicht. Für den Preis allemal sehr gut. Würde ich wieder kaufen"
,,,5.0 von 5 Sternen,16. April 2013,5,Super Shirt,"Das Shirt ist super. Die Passform ist wie beschrieben und angenehm zu tragen. Die Lieferung war schnell wie immer.,Wie es mit der Langlebigkeit aussieht wird man sehen."
,,,5.0 von 5 Sternen,14. August 2014,5,top Quali,"geniale Qualtiät für den Preis!,Liebe es und finde es sehr angenehm zu tragen! würde es jederzeit wieder kaufen - wenn ich wieder ein Laufshirt brauche - dann dieses"
,,,5.0 von 5 Sternen,28. August 2013,5,Hält warm,"Auch bei Übergangstagen warm genug, trotzdem schwitzt man nicht. Angenehm auf der Haut und dazu chick. Ich trage es zum Laufen und beim Kraftausdauersport. Allrounder!"
,,,4.0 von 5 Sternen,12. April 2015,4,kann man empfehlen,"Das Shirt entspricht seinem Preis-/Leistungsverhältnis.,sieht gut, aus Tragekomfort ist sehr angenehm, lässt sich auch bedrucken für Vereine deshalb gut geeignet"
,,,5.0 von 5 Sternen,7. August 2014,5,Okay,Es passt meinem Freund und er findet es bequem also alles in allem ein gutes shirt das wird er sich bestimmt noch einmal bestellen wenn das andere nicht mehr passt^^
,,,4.0 von 5 Sternen,13. April 2015,4,Sehr gutes Preiß Leistungsverhältnis,Das T-Shirt hat eine gute Qualität. Besonders die Farbkombination gefällt sehr gut. Atmungsaktivität beim Sport funktioniert auch.Kann man weiteremphelen. Prima.
,,,5.0 von 5 Sternen,21. April 2013,5,tolle Qualität,tolle Qualität und gutes preis-Leistungsverhältnis. leichter trage Komfort und sehr gute Verarbeitung kann ich für dieses Teil bestätigen und weiter empfehlen
,,,5.0 von 5 Sternen,23. Dezember 2014,5,gut,"Die Passform ist gut, der Tagekomfort hervorragend und die Qualität ist ok. Ich habe es gekauft in Amazon outlet und es warok es ist immer der beste preis."
,,,5.0 von 5 Sternen,27. Februar 2014,5,Spitze,"Das Shirt ist nun mittlerweile das 8. Puma Shirt und ich bin jedesmal aufs neue begeistert. Sehr angenehm zu tragen auf der Haut, wird nicht nass. Spitze"
,,,4.0 von 5 Sternen,5. August 2013,4,Super Funktionsshirt!,"Habe 2 dieser Funktionsshirts seit einigen Wochen zuhause und bin begeistert. Der Stoff ist sehr leicht und angenehm zu tragen, lässt sich gut waschen und sitzt perfekt. Für den Preis gibt es wohl kaum etwas besseres. Einen Punkt abzug wegen der relativ engen Ärmel. Für Leute mit muskulöseren Armen könnte es etwas knapp werden."
