appendComment,pics,rateContent,rateDate,reply,serviceRateContent,userInfo
,,还是有点长Noch ein wenig lang,2015-05-29 11:12:332015.05.29 11.12.33,,,
,,"裤子不错，穿上很舒服。Hosen gut, sehr angenehm zu tragen.就是买大了，净高180买的S号，还是大了Es ist zu kaufen groß, lichte Höhe 180, um die S-Nummer zu kaufen, oder Groß",2015-05-25 21:48:442015.05.25 21.48.44,,,
,,"很好，男朋友很喜欢Gut, mochte Freund",2015-05-24 18:16:192015.05.24 18.16.19,,,
,,还可以Du kannst auch,2015-05-22 18:42:472015.05.22 18.42.47,,,
,,裤子长了差点退款了改了一下穿上还行Lange Hosen Erstattung für fast ein wenig tragen Ordnung geändert,2015-05-22 10:28:312015.05.22 10.28.31,,,
,,还不错Ziemlich gut,2015-05-14 15:47:352015.05.14 15.47.35,,,身高:175cmHöhe: 175cm
,,"还没穿，看着这牌子也就那样，不好就不会买Nicht zu tragen, in diesem brand aussehen wird und nicht kaufen",2015-05-13 01:54:232015.05.13 01.54.23,,,
,,"东东很好，很合身，爸爸很喜欢Zeug ist sehr gut, sehr fit, mochte meinen Vater",2015-05-10 21:35:192015.05.10 21.35.19,,,
,,"是等不及换货所以重新拍的。Daher kann es nicht erwarten, Ersatz wieder schießen.肯定是正品，穿起也很合身。Sicher echt, tragen sehr fit.只是卖家不接受指定快递这个非常让我苦恼，本来就是急用，跟卖家商量用顺丰我自己出钱，卖家都不同意，所幸的是没耽误时间。Aber der Verkäufer den Kurier das macht mich sehr aufgeregt, ursprünglich haste nicht akzeptieren, mit dem Verkäufer, um Geld mit Glück mich, Verkäufer nicht einverstanden sind, zum Glück, nicht verschwendet Zeit zu diskutieren.希望卖家把合作的快递换成顺丰吧，保证好评率可以迅速提升！Wir hoffen, dass der Verkäufer die SF Express ersetzt es die Zusammenarbeit, um sicherzustellen, günstigen Tarif kann schnell zu aktualisieren!",2015-05-10 13:50:072015.05.10 13.50.07,,,
,,这条裤子找了三年终于找到了！Diese Hosen sind für drei Jahre und der Suche endlich gefunden!,2015-05-07 23:43:052015.05.07 23.43.05,,,身高:171cm体重:74kgHöhe: 171cm Gewicht: 74kg
,,"裤子还好，物流太失望，1号买的6号才收到，上海发杭州用了两天也是第一次碰到Pants Glücklicherweise die Logistik zu enttäuschend, kaufen am 1. 6. empfangen wurde, Shanghai, Hangzhou, zwei Tage lang machte auch die erste Begegnung",2015-05-06 19:44:192015.05.06 19.44.19,,,
,,服务态度不错Gute Haltung,2015-05-04 21:23:372015.05.04 21.23.37,,,
,,"第一次买大了 而且太大了 重新拍的 服务不错 裤子也很好很好Zum ersten Mal groß und zu gut, um zu kaufen, um wieder schießen der Service ist auch sehr, sehr gute Hose",2015-05-04 16:04:232015.05.04 16.04.23,,,
,,"我儿子刚穿有点大了不过行Mein Sohn tragen nur ein wenig groß, aber die Linie",2015-04-30 17:18:582015.04.30 17.18.58,,,
,,不错 做工很好Gute gute Arbeit,2015-04-28 23:50:182015.04.28 23.50.18,,,
,,可以Dose,2015-04-24 23:33:382015.04.24 23.33.38,,,
,,niceschön,2015-04-24 17:25:262015.04.24 17.25.26,,,
,,不错Recht,2015-04-21 23:55:242015.04.21 23.55.24,,,
,,很好Gut,2015-04-21 09:15:452015.04.21 09.15.45,,,
,,"是正品，不错。Es ist echte, gute.",2015-04-20 16:01:552015.04.20 16.01.55,,,
,,线头多条形码二维码扫不出来Multi-Thread-Barcode fegen zweidimensionalen Code,2015-04-19 11:59:092015.04.19 11.59.09,"本店铺是adidas公司指定的淘宝官方旗舰店，所有商品都是正品，您可以放心。Der Shop ist adidas bezeichnet Taobao offizielle Flagship-Store, alle Waren echt sind, können Sie sicher sein.由于现在商品更新比较快，二维码的扫描程序大部分都是扫描不出来的，这并不是确认商品是否为正品的标准。Nun, da Rohstoffupdate schneller, zweidimensionaler Code-Scanner, um aus meist zu scannen, das ist nicht bestätigt, ob die Ware echt ist Standard.若您收到商品不满意，可以联系我们售后客服，我店提供7天无理由退货和14天质量保障服务。Wenn Sie die Waren empfangen, nicht zufrieden sind, können Sie an unseren Kundenservice, I-Shop bis sieben Tage keinen Grund, zurückzukehren und 14 Tagen der Qualitätssicherung Dienstleistungen.线头一般修剪下即可。Allgemeine Fadenabschneiden kann.希望您继续关注我们店铺，期待您的下次光临！Ich hoffe, Sie auch weiterhin auf unser Geschäft konzentrieren, freuen uns auf Ihren nächsten Besuch!",,
,,"物流快，裤子赞  大爱三叶草Logistik schnell, wie die Liebe Klee Hosen",2015-04-18 13:05:292015.04.18 13.05.29,,,
,,"东西很好，很棒。Etwas Gutes, sehr gut.好评Günstige Kommentar",2015-04-16 16:14:372015.04.16 16.14.37,,,
,,"总体不错，就是号偏大Insgesamt gut, ist, dass Nummer zu groß",2015-04-15 16:48:122015.04.15 16.48.12,,,
,,满意Zufriedenheit,2015-04-09 11:36:262015.04.09 11.36.26,,,
