appendComment,pics,rateContent,stars,rateContent,rateDate,reply,serviceRateContent,userInfo
,,,5,好评很不错,2015-05-30 20:53:48,,,
,,,5,修身，版型真好！,2015-05-16 12:56:03,,,
,,,5,码数太大了，这件M号的是170。但是考虑用来运动的，宽松点也可以，于是就收了。,2015-05-14 09:39:08,,,身高:164cm体重:51kg
,,,5,还不错,2015-05-07 22:40:56,,,
,,,5,服务好,2015-04-24 09:50:02,,,
,//img.alicdn.com/bao/uploaded/i2/12120075255787365/TB2nQBQcpXXXXXFXpXXXXXXXXXX_!!654192120-0-rate.jpg,,5,物流太快了！裤子很合身！一整套太酷啦！,2015-04-09 23:00:25,,,
,,,5,很显瘦，不错,2015-04-08 00:16:42,,,
,,,5,非常好,2015-04-05 02:18:39,,,
,,,5,和专柜相同，不是特别瘦,2015-03-29 17:07:35,,,
,,,5,大小合适，颜色好看，,2015-03-26 21:32:56,,,
,,,5,正品，价优惠，下次再光顾。,2015-03-26 20:12:16,,,
,,,5,很喜欢,2015-03-17 08:34:58,,,
,,,5,好,2015-03-16 20:13:54,,,
,,,5,好厚重！料子不好,2015-03-15 22:51:49,,,
,,,5,很好，买的很值,2015-03-15 22:30:31,,,
,,,5,很好,2015-03-15 09:41:46,,,
,,,5,还可以啦，应该是正品，比实体店便宜很多哦,2015-03-14 12:45:56,,,
,,,5,很好，喜欢！,2015-03-12 20:13:04,,,
,,,5,看着不错,2015-03-12 17:04:51,,,
,,,5,正品，质量、尺码、颜色都正！,2015-03-12 16:51:21,,,
,,,5,裤子是修身款的，穿着效果很好，最经典的颜色和款式，很好搭配。,2015-03-12 14:22:41,,,
,,,3,这个裤子号码偏大偏长，拿去剪短了！海,2015-03-11 23:14:16,,,
,,,5,很合适！不错的，是正品！物流也很快！,2015-03-10 14:29:27,,,
,,,4,质量很好，裤脚有拉链，不可以改裤长,2015-03-09 16:56:47,,,
,,,4,- - 拍错了 以为m是65 的``` 结果悲剧了 就这样吧 冬天都能套棉裤穿了``````,2015-03-09 11:12:53,,,
,//img.alicdn.com/bao/uploaded/i3/18590069668497858/TB2bZkLbVXXXXbXXpXXXXXXXXXX_!!394798590-0-rate.jpg,,5,还是不错的,2015-03-09 11:06:36,,,
,,,5,还可以,2015-03-08 19:44:30,,,
,,,4,之前在专柜看到了但没有XS的了，价格基本上和折扣店差不多。三道杠的做工一般，最外的白杠中间位置有些歪。另外码数偏大，平时穿S的，这回买的XS还是套在冬天大棉裤外。,2015-03-08 13:23:23,,自助购物，对服务不做评价。,
,,,5,非常好。六折，,2015-03-07 18:06:37,,,
,,,4,裤子很赞。客服形同虚设,2015-03-06 18:32:25,,,
,,,5,帮同事买的，很满意,2015-03-03 08:10:45,,,
,"//img.alicdn.com/bao/uploaded/i2/12209068803088922/TB2ILyWbVXXXXcCXpXXXXXXXXXX_!!69282209-0-rate.jpg,//img.alicdn.com/bao/uploaded/i4/12209082757168085/TB29qa_bVXXXXaHXpXXXXXXXXXX_!!69282209-0-rate.jpg",,2,裤子也偏大，平时穿s，这个太大,2015-02-26 11:19:29,,,
,,,4,其实有点大！买了2000多的衣裳，换一件退一件！真心有点伤,2015-02-24 14:10:46,,,
235671285993|2015-02-21 11:25:05|裤子太紧不给换，已撕裂，钱当为狗|0||抱歉，由于我们的服务给您带来的不良感受。今后我们会加强对客服的培训，不断改善服务质量。希望您能继续支持我们店铺，期待您的下次光临！,,,1,什么玩意，能买不能换，嫌麻烦别开店，质量一般服务差的出奇，建议大家换店,2015-02-21 11:20:56,,,
,,,5,给老妈买的，收藏很久。还好降价没白等！很喜欢，大小也合适。,2015-02-21 09:07:45,,,
,,,5,好,2014-12-30 22:01:47,,,
,,,5,还好,2014-12-27 12:34:17,,,
,,,4,修身瘦版，建议买大一码。,2014-12-16 20:25:22,,,
,,,3,东西和快递都不错，但是客服真是太垃圾了。完全联系不上，根本不理人，电话也通不了。想更改个收货地址都没法。神奇的客服！,2014-12-16 11:39:14,抱歉，由于我们的服务给您带来的不良感受。近期咨询量非常的大，没有及时回复您请您见谅。今后我们会加强对客服的培训，不断改善服务质量，提高回复速度。本店铺是根据您下单后系统默认地址进行配送发货的，没法为您处理更改地址。我们会不断改善，希望能给您带来更优质的服务体验。感谢您对adidas的支持，期待您的下次光临！,,
,,,5,冬天没有办法套裤子穿 会很臃肿,2014-12-15 15:44:30,,,身高:165cm
,,,5,料子与我之前买的衣服料子不一样，但喜欢也就不退了。。。,2014-12-14 21:02:39,,,
,,,5,还可以，穿着玩玩。,2014-12-11 12:40:55,,,
,,,5,挺好可惜买大了一号,2014-12-09 19:04:22,,,
,,,3,客服都是摆设！！,2014-12-07 13:01:51,抱歉，由于我们的服务给您带来的不良感受。近期咨询量非常的大，没有及时回复您请您见谅。今后我们会加强对客服的培训，不断改善服务质量，提高回复速度。希望您能继续支持我们店铺，期待您的下次光临!,,
,,,5,不错,2014-12-05 16:02:42,,,
,,,5,适合瘦长腿,2014-12-03 22:58:14,,,
,,,5,超级好看的裤子 也很合适,2014-12-03 21:31:50,,,身高:163cm
,,,5,舒服,2014-12-01 15:40:33,,,
,,,5,特别好，有型！,2014-12-01 01:34:38,,,
,,,5,显瘦啊，抢了好久，终于到手了，超恶心的EMS还送错地了，等了好久，建议以后都不要发EMS了,2014-11-29 22:29:02,,,
,,,2,慢到家！而且优惠券不让用！客服太差！,2014-11-29 20:00:45,,,
,,,5,很喜欢喔,2014-11-29 12:32:33,,,
,,,5,裤子看中好久了，趁着双十一赶紧拿下，大小合适，裤型修身，好看。很喜欢呀。和我在商场买的上衣正好配成一套。,2014-11-28 10:59:39,,,
,,,4,发货 快递确实慢 等了好多天 裤子质量不错 是正品 本想着运动裤不会很修身 结果发现运动裤居然也有小脚裤,2014-11-27 02:37:19,,,身高:175cm
,,,5,双十一合适,2014-11-25 20:30:24,,,
,,,2,想要退换货，发了几十条没有一条会回的，只好自己拿去外面改改了，售后是我见过最差的一个,2014-11-25 12:58:56,,,
,,,5,haio,2014-11-25 12:04:24,,,
,,,5,跟我在专柜试的一样 很显瘦 比专柜便宜很多 很合适 不错 不过快递EMS这个速度啊 哎呀呀呀 实在是不敢恭维,2014-11-24 22:57:39,,,
,,,5,质量好，很好看,2014-11-24 13:22:02,,,
,,,3,客服不好，不理人。快速太慢。,2014-11-24 10:34:00,,,
,,,5,挺好，物流超快，,2014-11-23 23:32:53,,,
,,,5,非常好，一套终于买到了,2014-11-23 19:53:33,,,
,,,4,有点厚,2014-11-23 09:41:42,,,
,,,5,大小合适，显瘦,2014-11-22 22:21:09,,,
,,,5,裤型不错，想买很久了，喜欢,2014-11-22 20:28:41,,,身高:162cm
,,,4,包装一般，衣服偏大,2014-11-22 12:35:16,,,身高:160cm
,,,5,裤子不错,2014-11-21 18:00:50,,服务太差经！！！完全自主购物,
,,,5,正品！质量好！,2014-11-21 14:16:25,,,
,,,5,非常好的裤子，很喜欢。双11抢的。,2014-11-21 11:43:36,,,
,,,4,穿一天膝盖就变形了,2014-11-20 22:15:21,,,
,,,3,衣服没问题！服务态度差！,2014-11-20 21:38:49,,,
,,,5,"164,55kg,腰有点大，裤腿宽窄适中。下了1000多的订单，为什么给别人发的顺丰，我是Ems？",2014-11-20 12:48:06,,,
,,,4,正品，合身价格划算,2014-11-20 11:39:55,,,
,,,5,穿着正好！就是发货太慢了！,2014-11-20 10:20:19,非常抱歉，给您的此次购物带来不便。我店正常的发货时间是在付款后的1-2天内，(由于双11订单量剧增，物流时间可能会稍有延长)您的意见我们会跟相关公司进行反馈，不断进行改善。希望能给您带来更优质的服务体验。感谢您对adidas的支持，期待您的下次光临！,,
,,,5,裤子之前在专柜试过，很不错，双十一能买到太划算了。,2014-11-19 21:00:38,,,
,,,5,有点低腰的 不过样子还可以,2014-11-19 19:11:42,,,
,,,5,很漂亮,2014-11-19 16:57:25,,,
,"//img.alicdn.com/bao/uploaded/i2/12449059530858066/TB27wSHbXXXXXaMXpXXXXXXXXXX_!!721652449-0-rate.jpg,//img.alicdn.com/bao/uploaded/i4/12449059584948659/TB20Z5HbXXXXXbnXpXXXXXXXXXX_!!721652449-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/12449061293663648/TB2utyMbXXXXXb_XXXXXXXXXXXX_!!721652449-0-rate.jpg",,5,裤型比较显瘦，现在里面穿秋裤有点紧，个人觉得买平时穿的码字就可以。还不错,2014-11-19 12:05:36,,服务完全没有，看了别人的评价心里也有数了，反正就是没人理,身高:162cm
,,,5,超级美 很修身 很显身材,2014-11-19 10:40:19,,,
,,,5,不错啊,2014-11-19 10:08:44,,,
,,,5,正品，非常不错,2014-11-18 21:02:37,,,
,,,5,裤子很有型 五分好评,2014-11-18 20:51:45,,,
,,,5,60CM 40kg很合身,2014-11-18 19:45:47,,,
,,,5,双11好不容易才抢到啊呜呜，木有辜负我的等待裤子质量很好也很显瘦，买了一套美美哒~,2014-11-18 18:49:59,,,
,//img.alicdn.com/bao/uploaded/i3/14259059246717556/TB2h_1ybXXXXXaSXpXXXXXXXXXX_!!1022324259-0-rate.jpg,,5,非常不错166Cm 52kg M合适,2014-11-18 18:47:31,,,
,,,4,不是肥版 裤型很不错,2014-11-18 18:29:50,,,
,"//img.alicdn.com/bao/uploaded/i4/13594059241629653/TB2Ba5AbXXXXXadXpXXXXXXXXXX_!!777763594-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/13594059446054040/TB2dnCCbXXXXXcMXXXXXXXXXXXX_!!777763594-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/13594061208215989/TB2LKWHbXXXXXaZXXXXXXXXXXXX_!!777763594-0-rate.jpg",,5,真心一般,2014-11-18 18:03:50,,,
,,,5,S的有点包 不过挺好的 便宜,2014-11-18 16:46:22,,,
,,,5,有点低腰又收裤脚,2014-11-18 15:14:49,,,
,,,5,太长了。。。,2014-11-18 12:25:18,,,
,,,5,担心买小了 试穿后反而大了点 裤子型很好 总体满意,2014-11-18 09:12:44,,,身高:165cm
,,,4,很好,2014-11-18 08:46:55,,,
,,,5,不是想象中的样子，不过还好,2014-11-18 07:05:51,,,
,,,5,裤子很喜欢！,2014-11-17 23:14:49,,,
,,,5,一直都爱三叶草，满意！！！！,2014-11-17 22:34:05,,,
,,,5,拉链确实很碍事，把它剪掉之后缝起来了wle，也看不出痕迹，挺好,2014-11-17 22:31:22,,,
,,,5,抢东西不易啊，还好哪儿哪儿都合适,2014-11-17 19:54:53,,,
,,,5,大小正合适 冬天里面加绒裤穿也可以 很满意,2014-11-17 17:47:16,,,
,,,5,很满意～好评～,2014-11-17 13:32:26,,,
,,,5,好看 修身,2014-11-17 13:27:04,,,
,,,5,非常好，赞,2014-11-17 12:59:51,,,身高:161cm
,,,5,挺好的,2014-11-17 12:50:13,,,
,,,5,还可以。拍的稍微有点小。很合适,2014-11-17 12:37:58,,,
,,,5,正品！！！经典款很赞，裤子收腿裤修身款！！！很帅，大气！！！,2014-11-17 00:44:21,,超赞！！！,身高:165cm
