appendComment,pics,stars,rateContent,rateDate,reply,serviceRateContent,userInfo
,,5,很满意,2015-05-22 23:47:46,,,
,,5,物流很快，东西稍微贵了点,2015-05-22 23:01:10,,,
,,5,很舒服，跑步非常爽,2015-05-22 22:43:30,,,
,,5,很好，很合身。给卖家点赞，服务很好。,2015-05-22 20:18:55,,,
,,3,有色差,2015-05-22 18:09:07,,,
,,5,不错，是真品，面料很好，以后继续关注。,2015-05-22 14:07:45,,,
,,5,身上穿着好多纹理，不满意了,2015-05-22 14:04:32,,,
,,5,送了购物袋，东西不错，好评,2015-05-22 13:13:47,,,
,"//img.alicdn.com/bao/uploaded/i3/115430100864025725/TB246UocFXXXXXGXXXXXXXXXXXX_!!679911543-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/115430100864026715/TB2zXgbcFXXXXcSXXXXXXXXXXXX_!!679911543-0-rate.jpg",5,180        140      L的刚刚好,2015-05-22 12:13:39,,,
,,5,绝对超值。棒！！！,2015-05-22 12:01:27,,,
,//img.alicdn.com/bao/uploaded/i3/10857096167256079/TB2YRP6cFXXXXbdXpXXXXXXXXXX_!!1902140857-0-rate.jpg,5,正品 超值 快递给力 一天就到了 客服人不错 号码大小正好,2015-05-22 10:29:20,,,
,,5,正品,2015-05-22 10:20:47,,,
,,5,质量很好。无色差。   贴身很舒适。 很合身,2015-05-22 10:20:19,,,
,,5,183cm 85kg L号很有包裹感,2015-05-22 09:56:40,,,
,,4,东西很好，昨天穿了刚刚好！我180、74kg！很不错，就是客服比较傲，经常不回复。,2015-05-22 09:41:50,,,
,,5,不错，NIKE 产品质量没以前好了也是事实，,2015-05-21 23:24:51,,,
,,5,很好,2015-05-21 22:13:37,,,
,,5,很好,2015-05-21 22:13:37,,,
,,5,不错,2015-05-21 20:03:10,,,
,,5,还行,2015-05-21 19:38:33,,,
,,5,还行,2015-05-21 19:38:33,,,
,,5,和专卖店的一样，很好,2015-05-21 18:10:52,,,
,,5,之前买了一件黑色的，这次买件紫色的。一如既往的好，希望多上架一些颜色的。,2015-05-21 17:21:16,,,
,,5,衣服很不错。另外，希望改进以下两点：1.腋下舒适度 2.胸口前稍微加点图案，这样外穿时显得不是很单调。因为我以后还会买。。所以希望改进的更好一些。另外希望各个颜色都有，不要缺货。。,2015-05-21 17:18:44,,服务态度很好。,
,,5,很好，穿着舒服,2015-05-21 13:19:28,,,
