appendComment,pics,rateContent,rateDate,reply,serviceRateContent,userInfo
,,很满意Sehr zufrieden,2015-05-22 23:47:462015.05.22 23.47.46,,,
,,"物流很快，东西稍微贵了点Logistik schnell, etwas ein wenig hoch",2015-05-22 23:01:102015.05.22 23.01.10,,,
,,"很舒服，跑步非常爽Sehr komfortabel, sehr cool Lauf",2015-05-22 22:43:302015.05.22 22.43.30,,,
,,"很好，很合身。Sehr gut, sehr fit.给卖家点赞，服务很好。Zeigen Sie auf den Verkäufer, guter Service loben.",2015-05-22 20:18:552015.05.22 20.18.55,,,
,,有色差Es Farbe,2015-05-22 18:09:072015.05.22 18.09.07,,,
,,"不错，是真品，面料很好，以后继续关注。Ja, es ist echt, guter Stoff, weiterhin auf die Zukunft konzentrieren.",2015-05-22 14:07:452015.05.22 14.07.45,,,
,,"身上穿着好多纹理，不满意了Trägt eine Menge Textur, nicht erfüllt",2015-05-22 14:04:322015.05.22 14.04.32,,,
,,"送了购物袋，东西不错，好评Senden Sie eine Einkaufstasche, etwas Gutes, Lob",2015-05-22 13:13:472015.05.22 13.13.47,,,
,"//img.alicdn.com/bao/uploaded/i3/115430100864025725/TB246UocFXXXXXGXXXXXXXXXXXX_!!679911543-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/115430100864026715/TB2zXgbcFXXXXcSXXXXXXXXXXXX_!!679911543-0-rate.jpg//img.alicdn.com/bao/uploaded/i3/115430100864025725/TB246UocFXXXXXGXXXXXXXXXXXX_!!679911543-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/115430100864026715/TB2zXgbcFXXXXcSXXXXXXXXXXXX_!!679911543-0- rate.jpg",180        140      L的刚刚好180 140 L ist gerade gut,2015-05-22 12:13:392015.05.22 00.13.39,,,
,,绝对超值。Absolutwert.棒！Großartig!！!！!,2015-05-22 12:01:272015.05.22 12.01.27,,,
,//img.alicdn.com/bao/uploaded/i3/10857096167256079/TB2YRP6cFXXXXbdXpXXXXXXXXXX_!!1902140857-0-rate.jpg//img.alicdn.com/bao/uploaded/i3/10857096167256079/TB2YRP6cFXXXXbdXpXXXXXXXXXX_!!1902140857-0-rate.jpg,"正品 超值 快递给力 一天就到了 客服人不错 号码大小正好Authentic Premium-Kurier zu zwingen, einem Tag auf den Kunden-Service waren gut Nummern richtige Größe",2015-05-22 10:29:202015.05.22 10.29.20,,,
,,正品Authentisch,2015-05-22 10:20:472015.05.22 10.20.47,,,
,,质量很好。Gute Qualität.无色差。Ohne Farbe.贴身很舒适。Sehr angenehm auf der Haut.很合身Sehr fit,2015-05-22 10:20:192015.05.22 10.20.19,,,
,,"183cm 85kg L号很有包裹感183cm 85kg L Nummer ist nützlich, Sinn für das Paket",2015-05-22 09:56:402015.05.22 09.56.40,,,
,,"东西很好，昨天穿了刚刚好！Etwas Gutes gestern, tragen genau das Richtige!我180、74kg！Ich 180,74kg!很不错，就是客服比较傲，经常不回复。Sehr gut, ist es relativ stolz auf die Kunden-Service, die oft nicht reagieren.",2015-05-22 09:41:502015.05.22 09.41.50,,,
,,"不错，NIKE 产品质量没以前好了也是事实，Ja, das ist NIKE Produktqualität nicht so gut ist, dass,",2015-05-21 23:24:512015.05.21 23.24.51,,,
,,很好Gut,2015-05-21 22:13:372015.05.21 22.13.37,,,
,,很好Gut,2015-05-21 22:13:372015.05.21 22.13.37,,,
,,不错Recht,2015-05-21 20:03:102015.05.21 20.03.10,,,
,,还行Okay,2015-05-21 19:38:332015.05.21 19.38.33,,,
,,还行Okay,2015-05-21 19:38:332015.05.21 19.38.33,,,
,,"和专卖店的一样，很好Und speichert, als auch",2015-05-21 18:10:522015.05.21 18.10.52,,,
,,"之前买了一件黑色的，这次买件紫色的。Vor dem Kauf eines schwarzen, dieses Mal ein Stück von lila zu kaufen.一如既往的好，希望多上架一些颜色的。Immer gut, ich hoffe, mehr Regale von etwas Farbe.",2015-05-21 17:21:162015.05.21 17.21.16,,,
,,"衣服很不错。Sehr gute Kleidung.另外，希望改进以下两点：1.腋下舒适度 2.胸口前稍微加点图案，这样外穿时显得不是很单调。Darüber hinaus der Wunsch, die beiden folgenden Punkte zu verbessern: 1. Achselhöhle ein wenig Komfort Muster 2. Vor der Brust, so dass es nicht sehr eintönig, wenn Waichuan.因为我以后还会买。Da werde ich kommen, um zu kaufen.。.所以希望改进的更好一些。Wir hoffen, besser zu verbessern.另外希望各个颜色都有，不要缺货。Auch wir hoffen, dass alle Farben sind, nicht aus.。.",2015-05-21 17:18:442015.05.21 17.18.44,,服务态度很好。Guter Service Haltung.,
,,"很好，穿着舒服Nun, angenehm zu tragen",2015-05-21 13:19:282015.05.21 13.19.28,,,
,,"挺好，就是儿子太瘦，穿不出效果Sehr gut, ist der Sohn des dünnen, tragen keine Wirkung",2015-05-21 13:13:472015.05.21 13.13.47,,,
,,"顺丰太给力啦！Viel Glück zu, um es zu zwingen!第二天就到了！Am nächsten Tag auf!不错！Ja!就是吊牌上没有价格是怎么回事？Kein Preisschild auf, wie die Sache?",2015-05-21 12:58:442015.05.21 12.58.44,,,
,//img.alicdn.com/bao/uploaded/i4/103320100773673449/TB2GhDEaXXXXXbDXpXXXXXXXXXX_!!338380332-0-rate.jpg//img.alicdn.com/bao/uploaded/i4/103320100773673449/TB2GhDEaXXXXXbDXpXXXXXXXXXX_!!338380332-0-rate.jpg,"耐克就是有实力，不错质量依旧给力！Nike ist stark, gute Qualität ist immer noch an die Macht!以后继续支持Nach der anhaltenden Unterstützung",2015-05-21 10:43:342015.05.21 10.43.34,,,
,,真的非常好Wirklich gut,2015-05-21 01:45:342015.05.21 01.45.34,,,
,,衣服很棒！Kleidung great!很喜欢！Gefällt mir!发货物流非常快！Versandlogistik sehr schnell!非常愉快的一次购物！Sehr angenehmes Einkaufen!,2015-05-20 21:33:452015.05.20 21.33.45,,,
