appendComment,pics,Sterne,rateContent,rateDate,reply,serviceRateContent,userInfo
,,5,衣服真的特别大，比平常大了一个号的。质量也就一般，不值这个价钱,2015-06-02 17:07:53,,,
,,5,一买完居然降价，并且我是换货，第一次差评！,2015-06-02 16:58:32,,,
,,5,料子不错，但是码子起码偏大两个码！瘦小的人可以参考下！,2015-06-02 14:42:18,,,
,,5,很好！,2015-06-02 12:10:11,,,
,,5,很好合适,2015-06-02 10:10:42,,,
,,5,衣服质量一般，没有以前的质量好，还有点小贵呀，衣服超大，小了1个号还大。,2015-06-02 09:42:12,,,
,,5,不错,2015-06-02 09:25:23,,,
,,5,衣服是正品，质量很好，布料舒服,2015-06-02 00:38:53,,,
,,5,材质偏薄哦！但是还可以吧！,2015-06-02 00:26:54,,,
,,5,东西不错 有点大 建议要买时 要小一号,2015-06-01 22:36:57,,,
,,5,宝贝不错，喜欢彪马，因为码偏大，我是个胖子所以懂得,2015-06-01 22:20:02,,,
,,5,这次买的码稍微大了点,2015-06-01 21:11:27,,,
,,5,质量好,2015-06-01 21:06:41,,,
,,5,还好，不错，但愿还能多搞活动,2015-06-01 20:09:12,,,
,,5,衣服不错,2015-06-01 19:35:04,,,
,,5,幸好听了客服的话选择了M码，平常老公穿XL号，穿这款正好！,2015-06-01 17:58:52,,,
,,5,真货,2015-06-01 16:29:44,,,
,,5,质量很好，尺码偏大，买小一号刚好，肥度也还好。,2015-06-01 14:52:31,,,
,,5,感觉不是正品，不过一百多，不用退了,2015-06-01 11:45:34,,,
,,5,与图片一样，满意。,2015-06-01 10:17:27,,,
,,5,"确认晚了,衣服绝对真品",2015-06-01 09:54:02,,,
,,5,null,2015-06-01 07:25:59,,,
,,5,送给老爸的 很合身 就是衣服有点长了 不透 还算满意,2015-05-31 22:55:47,,,
,,5,质量很好，只是码数偏大了,2015-05-31 22:50:20,,,
,,5,挺好,2015-05-31 22:37:00,,,
,,5,就是太大了，衣服还可以。,2015-05-31 19:40:42,,,
,,5,挺好的，料子挺好,2015-05-31 18:20:59,,,
,,5,东西不错，一分价钱，一分货。,2015-05-31 17:12:37,,,
,"//img.alicdn.com/bao/uploaded/i1/154870102002712950/TB24YHncVXXXXaqXXXXXXXXXXXX_!!1032335487-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/154870102002728254/TB2v6jmcVXXXXaVXXXXXXXXXXXX_!!1032335487-0-rate.jpg",5,还好吧，东西应该是正品，物流从上海运到南京，足足花了6天时间，25号拍的，今天才到，无力吐槽。,2015-05-31 16:26:57,您好，感谢您对PUMA商品的支持！针对您反馈物流问题我们也十分的重视，我们会定期和物流公司沟通配送等相关的问题，由于您的订单是在5月25日的订单，5月25日完成发货，5月31日签收商品，因恰逢我们的活动周期，所以再不同程度订单量较大，圆通物流配送力度也会受到一定的影响。给您带来不便非常抱歉！如果您在之后的活动中有任何的问题都可以及时和我们联系呦！感谢您的理解及支持！,,
,,5,不错哦,2015-05-31 13:01:11,,,
