appendComment,pics,rateContent,rateDate,reply,serviceRateContent,userInfo
,,"衣服真的特别大，比平常大了一个号的。Kleidung wirklich besonders groß, größer als eine übliche Zahl.质量也就一般，不值这个价钱Qualität ist auch der General, den Preis nicht wert",2015-06-02 17:07:532015.06.02 17.07.53,,,
,,"一买完居然降价，并且我是换货，第一次差评！Tatsächlich gekauft einen Preis, und ich war ein Ersatz, erste schlechte Bewertung!",2015-06-02 16:58:322015.06.02 16.58.32,,,
,,"料子不错，但是码子起码偏大两个码！Gutes Material, aber völlig anders zu groß mindestens zwei Meter!瘦小的人可以参考下！Dünne Menschen beziehen!",2015-06-02 14:42:182015.06.02 14.42.18,,,
,,很好！Sehr gut!,2015-06-02 12:10:112015.06.02 00.10.11,,,
,,很好合适Gute Passform,2015-06-02 10:10:422015.06.02 10.10.42,,,
,,"衣服质量一般，没有以前的质量好，还有点小贵呀，衣服超大，小了1个号还大。Kleidung Qualität in der Regel nicht von guter Qualität vor, es gibt eine kleine teuer ah, übergroße Kleidung, eine kleine Zahl von größer.",2015-06-02 09:42:122015.06.02 09.42.12,,,
,,不错Recht,2015-06-02 09:25:232015.06.02 09.25.23,,,
,,"衣服是正品，质量很好，布料舒服Kleidung ist echte, gute Qualität, komfortable Stoffe",2015-06-02 00:38:532015.06.02 00.38.53,,,
,,材质偏薄哦！Material dünnen Oh!但是还可以吧！Aber es kann auch richtig sein!,2015-06-02 00:26:542015.06.02 00.26.54,,,
,,"东西不错 有点大 建议要买时 要小一号Etwas Gutes Ratschlag, wenn Sie auf eine kleinere Größe zu kaufen",2015-06-01 22:36:572015.06.01 22.36.57,,,
,,"宝贝不错，喜欢彪马，因为码偏大，我是个胖子所以懂得Baby gut, wie Puma, als zu groß ist, war ich Fett so wissen",2015-06-01 22:20:022015.06.01 22.20.02,,,
,,"这次买的码稍微大了点Der Code, um ein bisschen zu groß Punkte kaufen",2015-06-01 21:11:272015.06.01 21.11.27,,,
,,质量好Gute Qualität,2015-06-01 21:06:412015.06.01 21.06.41,,,
,,"还好，不错，但愿还能多搞活动Glücklicherweise, ja, ich hoffe, mehr in Aktivitäten zu engagieren",2015-06-01 20:09:122015.06.01 20.09.12,,,
,,衣服不错Gute Kleidung,2015-06-01 19:35:042015.06.01 19.35.04,,,
,,"幸好听了客服的话选择了M码，平常老公穿XL号，穿这款正好！Zum Glück hört auf den Kunden, und wählen Sie M-Code, der Mann tragen in der Regel XL Nummer, nur tragen diese!",2015-06-01 17:58:522015.06.01 17.58.52,,,
,,真货The real thing,2015-06-01 16:29:442015.06.01 16.29.44,,,
,,"质量很好，尺码偏大，买小一号刚好，肥度也还好。Gute Qualität, ist zu groß, nur kaufen, eine kleinere Größe ist auch die Fruchtbarkeit gut.",2015-06-01 14:52:312015.06.01 14.52.31,,,
,,"感觉不是正品，不过一百多，不用退了Das Gefühl ist nicht echt, aber mehr als hundert, nicht zurück",2015-06-01 11:45:342015.06.01 11.45.34,,,
,,"与图片一样，满意。Und das gleiche Bild, zufrieden.",2015-06-01 10:17:272015.06.01 10.17.27,,,
,,"确认晚了,衣服绝对真品Bestätigt spät, Kleidung absolut echt",2015-06-01 09:54:022015.06.01 09.54.02,,,
,,nullnichtig,2015-06-01 07:25:592015.06.01 07.25.59,,,
,,"送给老爸的 很合身 就是衣服有点长了 不透 还算满意Dad ist sehr fit, um Kleidung ein wenig länger undurchlässig ziemlich zufrieden geben",2015-05-31 22:55:472015.05.31 22.55.47,,,
,,"质量很好，只是码数偏大了Die Qualität ist sehr gut, nur ein paar Meter zu große",2015-05-31 22:50:202015.05.31 22.50.20,,,
,,挺好Sehr gut,2015-05-31 22:37:002015.05.31 22.37.00,,,
,,"就是太大了，衣服还可以。Zu groß ist, die Kleidung auch.",2015-05-31 19:40:422015.05.31 19.40.42,,,
,,"挺好的，料子挺好Sehr gut, sehr gutes Material",2015-05-31 18:20:592015.05.31 18.20.59,,,
,,"东西不错，一分价钱，一分货。Etwas Gutes, ein Preis für einen halben.",2015-05-31 17:12:372015.05.31 17.12.37,,,
