aliMallSeller,anony,appendComment,attributes,auctionSku,buyCount,carServiceLocation,cmsSource,displayRatePic,displayRateSum,displayUserLink,displayUserNick,displayUserNumId,displayUserRateLink,dsr,fromMall,fromMemory,id,pics,position,rateContent,rateDate,reply,serviceRateContent,tamllSweetLevel,tmallSweetPic,useful,userIdEncryption,userInfo,userVipLevel,userVipPic
false,false,,,颜色分类:405复古蓝/(岛绿);尺码:L,0,,天猫,b_red_2.gif,30,,小***e,,,0,true,0,242428474027,,,很满意,2015-05-22 23:47:46,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:XL,0,,天猫,b_red_4.gif,114,,h***1,,,0,true,0,242263659432,,,物流很快，东西稍微贵了点,2015-05-22 23:01:10,,,3,tmall-grade-t3-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:XL,0,,天猫,b_red_4.gif,91,,我***西,,,0,true,0,242184015702,,,很舒服，跑步非常爽,2015-05-22 22:43:30,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:405复古蓝/(岛绿);尺码:XL,0,,天猫,b_blue_2.gif,843,,x***7,,,0,true,0,242229122518,,,很好，很合身。给卖家点赞，服务很好。,2015-05-22 20:18:55,,,3,tmall-grade-t3-18.png,true,,,0,
false,true,,,颜色分类:021麻灰/ (黑);尺码:L,0,,天猫,b_blue_2.gif,525,,n***u,,,0,true,0,242403616475,,,有色差,2015-05-22 18:09:07,,,2,tmall-grade-t2-18.png,true,,,0,
false,false,,,颜色分类:021麻灰/ (黑);尺码:L,0,,天猫,b_red_5.gif,239,,小***喀,,,0,true,0,242163903250,,,不错，是真品，面料很好，以后继续关注。,2015-05-22 14:07:45,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:021麻灰/ (黑);尺码:L,0,,天猫,b_red_2.gif,14,,t***4,,,0,true,0,242210875638,,,身上穿着好多纹理，不满意了,2015-05-22 14:04:32,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:L,0,,天猫,b_red_4.gif,118,,铜***仁,,,0,true,0,242308269834,,,送了购物袋，东西不错，好评,2015-05-22 13:13:47,,,3,tmall-grade-t3-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:L,0,,天猫,b_red_2.gif,21,,r***9,,,0,true,0,242294212413,"//img.alicdn.com/bao/uploaded/i3/115430100864025725/TB246UocFXXXXXGXXXXXXXXXXXX_!!679911543-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/115430100864026715/TB2zXgbcFXXXXcSXXXXXXXXXXXX_!!679911543-0-rate.jpg",,180        140      L的刚刚好,2015-05-22 12:13:39,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:021麻灰/ (黑);尺码:L,0,,天猫,b_blue_1.gif,307,,g***3,,,0,true,0,242083759824,,,绝对超值。棒！！！,2015-05-22 12:01:27,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:XL,0,,天猫,b_red_3.gif,43,,疯***6,,,0,true,0,242080076406,//img.alicdn.com/bao/uploaded/i3/10857096167256079/TB2YRP6cFXXXXbdXpXXXXXXXXXX_!!1902140857-0-rate.jpg,,正品 超值 快递给力 一天就到了 客服人不错 号码大小正好,2015-05-22 10:29:20,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:L,0,,天猫,b_blue_1.gif,442,,8***u,,,0,true,0,242400422667,,,正品,2015-05-22 10:20:47,,,3,tmall-grade-t3-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:L,0,,天猫,b_red_5.gif,165,,张***4,,,0,true,0,242283930806,,,质量很好。无色差。   贴身很舒适。 很合身,2015-05-22 10:20:19,,,2,tmall-grade-t2-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:L,0,,天猫,b_red_3.gif,57,,我***六,,,0,true,0,242077167683,,,183cm 85kg L号很有包裹感,2015-05-22 09:56:40,,,3,tmall-grade-t3-18.png,true,,,0,
false,true,,,颜色分类:010黑/ (冷灰);尺码:L,0,,天猫,b_red_4.gif,122,,a***m,,,0,true,0,242382861157,,,东西很好，昨天穿了刚刚好！我180、74kg！很不错，就是客服比较傲，经常不回复。,2015-05-22 09:41:50,,,0,,true,,,0,
