pics	rateContent	rateDate	reply	serviceRateContent	userInfo
	确认有点晚了，儿子很喜欢，还会在光顾。	2014/11/24 10:17			身高:194cm;体重:130kg
	东西OK，就是下摆太长了	2014/11/24 10:16			
	不错	2014/11/23 18:00			
	当然是正品啦，199元不是盖的。买的是XL的，穿在身上刚刚好，用来健身非常舒适。	2014/11/23 15:28			身高:170cm;体重:85kg
	东西很好哦。就是太贵了	2014/11/23 14:34			
	给男票买的，健身用，刚合身。棒棒哒！	2014/11/23 13:42			
//img.alicdn.com/bao/uploaded/i2/18585060106228609/TB2wSLrbXXXXXXjXXXXXXXXXXXX_!!2132918585-0-rate.jpg	穿上去很舒服，赞一个。看上去很帅，很棒。	2014/11/23 11:37			
	不错	2014/11/23 9:59			
	挺好的，物有所值。	2014/11/23 9:14			
	挺好的，物有所值。	2014/11/23 9:14			
	我175 72KG 买的L的，刚刚好！里面有发票之类的，是正品！	2014/11/22 19:30		很好，发的顺丰！速度也很快！	身高:175cm;体重:72kg
	色差较大质感一般。	2014/11/22 19:12			
	微长其他OK	2014/11/22 14:16			
	速度超快好评	2014/11/22 12:58			
	红色衣服偏暗 网页图片显得很亮 到手有色差 不舒服。。。懒得换了	2014/11/22 10:24			身高:177cm;体重:76kg
	大耐克！	2014/11/21 22:53			
	这速度挺快的！	2014/11/21 22:42			
	很好	2014/11/21 20:05			
	很好	2014/11/21 19:58			
	很好，孩子很喜欢	2014/11/21 19:58			
